TERMINALNO,TIME,TRIP_ID,LONGITUDE,LATITUDE,DIRECTION,HEIGHT,SPEED,CALLSTATE,Y
62,1478394720,48,112.15514399999999,32.062187,113,61.300293,0.4,4,0.0
14,1475673540,11,85.91594985,41.14748994,85,3.0,6.8000298,0,0.0
63,1469519700,10,118.13776399999999,24.50144,96,17.154541000000002,9.86,0,0.660832385
50,1477360860,9,120.199867,30.279612,260,16.371466,10.92,0,0.0
71,1482231000,52,104.062386,30.627403,277,491.71850599999993,2.58,0,0.0
80,1483092420,46,113.664146,34.698627,182,106.99543,0.0,0,0.0
97,1468453440,75,119.960999,32.506981,58,-0.043854000000000004,3.39,0,0.8458657709999999
88,1480082700,41,114.67671999999999,38.013443,90,52.398559999999996,13.63,0,0.0
50,1476150600,1,120.22253400000001,30.277561,-1,15.783524,0.0,0,0.0
28,1477960740,20,113.55808999999999,22.243176000000002,67,19.949827,0.0,4,0.0
60,1482122400,28,106.349617,38.678154,26,1099.938599,32.77,4,0.0
39,1482882540,7,114.246307,33.987549,189,45.970093,0.73,4,0.504855623
77,1479968760,9,113.040291,30.145917999999998,192,18.704651000000002,21.889999,0,0.069588535
98,1471168380,5,118.41909040000002,31.27695546,14,4.0,31.995277,0,0.0
68,1483056720,20,121.4001967,31.15867667,339,5.8,20.07571,0,0.0
15,1478497140,1,114.7452279,41.22613121,221,9.0,33.870290000000004,0,0.0
95,1482279180,69,117.24405700000001,31.819000000000003,271,24.648376000000003,16.23,4,0.0
6,1472373420,32,120.54996499999999,31.308126,340,11.911316000000001,0.0,0,0.0
23,1477037580,151,116.34787800000001,37.462612,45,16.691315,0.0,0,0.0
91,1473414300,4,121.48703,31.675116,111,-17.530182,14.97,0,0.0
95,1479879180,140,117.20848799999999,31.800064000000003,33,25.171326,16.98,4,0.0
71,1482449640,48,105.51297,28.957523,59,346.996338,2.58,0,0.0
22,1476501720,13,112.951233,27.822515000000003,178,55.227417,0.93,0,0.0
25,1471404660,33,113.32831429999999,23.29201971,123,12.0,8.876966,0,0.0
